dim1,dim2,label
16.375488,43.237946,1
36.466167,3.2499013,1
-11.868715,10.50787,1
68.111,65.31544,1
48.90493,-62.492516,1
17.144266,43.310333,1
40.984264,3.3133276,1
-7.665649,42.661804,1
41.193016,76.94794,1
13.709933,-66.659706,1
19.992886,5.896325,1
17.791594,43.092278,1
-2.2376108,42.895046,1
21.538465,88.18324,1
32.123226,-78.060616,1
29.000244,43.61052,1
48.61209,58.903202,1
83.072296,-50.578888,1
28.841944,43.913403,1
87.78352,30.444597,1
77.15542,-26.997139,1
56.345715,20.01038,1
70.301,44.667145,1
-2.3403323,-71.82054,1
41.91235,33.815403,1
55.989307,-48.133984,1
28.50878,43.232742,1
40.32974,6.2208576,1
68.111,65.31544,1
48.90493,-62.492516,1
56.37954,19.868488,1
16.974045,43.156555,1
4.7204623,13.562496,1
41.193016,76.94794,1
13.709933,-66.659706,1
28.853941,43.27886,1
48.64935,10.067723,1
-36.3479,32.156185,1
21.538465,88.18324,1
32.123226,-78.060616,1
28.949091,43.602413,1
-17.07519,35.583294,1
48.61209,58.903202,1
75.37251,-54.28018,1
28.809385,43.916924,1
50.13209,9.296396,1
18.838558,-6.2485614,1
87.78352,30.444597,1
77.15542,-26.997139,1
-27.612432,-25.257006,1
68.13813,44.727516,1
-3.9515305,-73.110565,1
-50.32215,-24.896704,1
41.366936,33.46945,1
55.989307,-48.133984,1
19.27615,42.866444,1
50.546307,9.691877,1
-18.382465,42.813004,1
-7.997632,47.222305,1
48.90493,-62.492516,1
28.810879,43.05417,1
35.973988,2.3796108,1
-12.7414465,35.299603,1
41.193016,76.94794,1
14.083181,-66.519684,1
28.866817,43.1272,1
3.4119208,12.704338,1
21.538465,88.18324,1
33.098408,-77.494545,1
28.643959,43.280334,1
41.39781,4.749091,1
-15.247231,6.318732,1
48.61209,58.903202,1
69.76201,-66.38751,1
56.365364,19.51629,1
28.645788,43.72996,1
-40.502426,-25.60035,1
87.78352,30.444597,1
77.15542,-26.997139,1
70.301,44.667145,1
78.73417,-24.910072,1
40.350876,33.55711,1
78.773834,-24.7796,1
-40.721867,-24.701498,1
68.111,65.31544,1
82.40009,-17.116562,1
-39.66857,-20.41068,1
41.193016,76.94794,1
83.24395,-15.744198,1
55.89315,19.754827,1
59.070625,20.68258,1
-33.447475,-11.875919,1
21.538465,88.18324,1
83.77178,-13.222756,1
1.0376233,44.068783,1
48.61209,58.903202,1
83.41091,-12.713563,1
55.606457,19.357094,1
-27.508282,-10.317816,1
87.78352,30.444597,1
84.83952,-7.4652286,1
70.301,44.667145,1
81.50759,-14.452119,1
-8.439748,-23.945871,1
41.01778,33.019028,1
81.400856,-15.875505,1
68.111,65.31544,1
83.91135,-13.594958,1
55.906853,19.289583,1
58.621094,21.282774,1
-14.421911,-3.2514057,1
41.193016,76.94794,1
86.20694,-10.776651,1
55.0361,18.194736,1
-14.577112,14.289206,1
68.111,65.31544,1
87.10371,-9.88821,1
-18.85906,9.800856,1
-2.3750093,9.907362,1
-12.864437,7.9419556,1
49.413574,56.650055,1
87.174484,-7.0940113,1
6.199315,13.688457,1
11.4909725,14.322475,1
87.78352,30.444597,1
87.959404,-5.348594,1
4.7670827,15.605459,1
69.40522,46.37565,1
83.411064,-7.943322,1
-5.305817,-39.808094,1
9.460378,13.7648535,1
43.208794,45.50405,1
81.07467,-14.434266,1
3.278956,17.415348,1
1.676329,-15.331661,1
-1.9981585,-7.0281715,1
14.960583,57.622322,1
-13.757163,0.54764736,1
68.111,65.31544,1
84.46531,-12.441926,1
54.945633,18.165222,1
0.6950162,-3.8207104,1
11.566997,-40.593174,1
1.3027083,62.17646,1
58.749123,21.9785,1
-23.628092,28.023859,1
56.39959,40.896114,1
82.86909,-14.152193,1
-13.813799,14.173635,1
4.224596,4.930337,1
3.365006,44.638405,1
55.25484,17.76239,1
-22.22818,11.782908,1
21.538465,88.18324,1
84.3407,-13.025605,1
1.7193556,17.912256,1
-0.09017083,-1.9189011,1
-12.65803,71.37087,1
0.29624328,-3.2663767,1
50.14594,54.589672,1
84.05377,-12.010551,1
3.51158,-3.8074653,1
39.72653,-26.936768,1
-4.155778,30.071905,1
4.0611,-0.5426094,1
87.78352,30.444597,1
85.198166,-7.455159,1
19.498566,27.040342,1
-35.96532,-17.559738,1
70.301,44.667145,1
81.19859,-16.231066,1
-3.6457188,-27.520914,1
5.8270364,22.924538,1
-56.494343,-23.028545,1
41.644745,33.102997,1
81.22893,-16.80687,1
-17.92815,34.626926,1
15.080615,58.222717,1
-7.3469706,-14.063187,1
68.111,65.31544,1
82.841774,-15.748275,1
1.2525505,61.63572,1
-45.586037,-23.048199,1
41.193016,76.94794,1
83.55843,-14.836044,1
27.75697,43.004063,1
-27.102703,-37.084095,1
3.365006,44.638405,1
-3.8084376,44.510143,1
21.538465,88.18324,1
84.00054,-14.454358,1
3.0499349,17.13613,1
-16.61441,35.88759,1
39.819633,-1.0672876,1
-11.067644,72.34821,1
-22.055456,28.122437,1
48.61209,58.903202,1
84.0827,-11.393362,1
-39.405697,-20.080385,1
55.154064,1.9848002,1
-4.235168,30.283169,1
-19.018995,-28.604652,1
87.78352,30.444597,1
84.64409,-7.2883587,1
20.169424,26.57399,1
-35.953884,-20.50696,1
70.301,44.667145,1
81.50377,-13.49179,1
6.9369454,23.692236,1
-56.061874,-23.457342,1
41.91235,33.815403,1
81.33297,-15.34209,1
16.082169,57.890755,1
-56.359795,-21.801523,1
68.111,65.31544,1
83.16645,-14.56435,1
-31.06075,5.667139,1
1.8206712,61.22018,1
-3.9577336,45.43281,1
41.193016,76.94794,1
86.031,-11.220706,1
-8.588136,29.123407,1
4.078969,14.267109,1
-24.873957,-4.548185,1
-11.788991,9.865456,1
59.423134,22.931522,1
-20.895306,15.036229,1
21.538465,88.18324,1
84.41587,-12.200333,1
8.86771,0.7912839,1
-9.128831,5.383199,1
-10.357073,72.028496,1
58.63268,21.50075,1
-48.30502,-3.545522,1
48.61209,58.903202,1
84.39151,-11.011137,1
2.5952225,-2.4976869,1
-2.3940158,30.067942,1
-56.673584,-21.515074,1
87.78352,30.444597,1
84.66368,-7.459584,1
9.442117,1.2246277,1
20.266687,27.000158,1
-59.994766,-24.353237,1
70.301,44.667145,1
81.49395,-13.30004,1
7.352372,21.386625,1
-59.35504,-25.223555,1
41.905975,33.456135,1
81.39857,-15.551892,1
1.5285271,13.673252,1
26.072233,42.953342,1
2.6930015,-4.1483874,1
14.6126175,58.058285,1
-14.895783,-10.869936,1
68.111,65.31544,1
84.30344,-12.949717,1
3.8181417,16.157204,1
-14.154446,-19.584023,1
0.5527992,61.468594,1
-65.54646,-21.501877,1
41.193016,76.94794,1
82.2548,-14.986498,1
9.272285,13.515836,1
-20.112476,0.8616901,1
3.365006,44.638405,1
58.815998,22.194397,1
-56.78118,-14.603371,1
21.538465,88.18324,1
82.8308,-14.751371,1
7.797162,13.823564,1
-22.980412,32.30907,1
-11.97041,71.80635,1
59.322945,22.79705,1
-42.768948,-0.9641127,1
48.61209,58.903202,1
82.2853,-14.820145,1
-31.53898,-11.1251,1
10.859035,4.9562263,1
-32.171383,-8.93913,1
87.78352,30.444597,1
83.59713,-12.344094,1
19.456127,26.344622,1
70.301,44.667145,1
81.07162,-18.03821,1
7.882325,21.775923,1
40.630165,33.215065,1
78.91634,-24.30109,1
-21.986866,32.5365,1
50.117397,9.097582,1
16.172089,57.422108,1
-25.390888,13.127725,1
68.111,65.31544,1
81.91417,-17.616419,1
3.9411948,15.139297,1
26.621227,42.505257,1
-30.144089,-10.132825,1
1.493666,61.184692,1
-7.5312424,9.059863,1
41.193016,76.94794,1
82.86289,-16.607466,1
15.174229,-1.215983,1
8.247986,14.110025,1
13.808739,1.606725,1
3.6833172,45.41574,1
-27.254164,-25.000391,1
21.538465,88.18324,1
83.10738,-16.407045,1
-12.157107,-8.014009,1
10.09378,13.211925,1
26.702276,43.220406,1
-19.053213,30.144585,1
-11.97041,71.80635,1
59.45559,23.000055,1
-28.740288,-10.046985,1
48.61209,58.903202,1
86.289444,-10.558397,1
-15.176271,1.4266824,1
49.90987,7.530059,1
-2.8389122,30.058699,1
-27.943607,-10.042314,1
87.78352,30.444597,1
88.200294,-5.0315065,1
10.437959,-1.7564874,1
51.7012,-4.74108,1
20.337185,26.48865,1
-41.835735,-24.160261,1
70.301,44.667145,1
83.77441,-7.4591618,1
14.46687,-16.251904,1
23.076752,43.00501,1
-4.6082287,-22.52404,1
6.123479,22.353157,1
58.524895,22.207888,1
-55.525673,-23.895123,1
41.644745,33.102997,1
81.00156,-14.21931,1
13.064116,-18.284424,1
4.679241,15.603493,1
2.2938058,-13.296216,1
50.552635,-9.101841,1
16.770758,57.571224,1
-34.509785,34.608025,1
68.111,65.31544,1
84.8667,-11.763789,1
4.4003396,15.784659,1
-10.499969,47.14146,1
51.128773,-8.752536,1
1.5373782,60.561214,1
-10.98361,46.944942,1
41.193016,76.94794,1
86.79139,-9.7804365,1
8.788982,13.3558,1
16.52699,43.506252,1
-15.427517,-32.982742,1
56.810253,0.57741296,1
3.3515105,43.774654,1
-16.279861,37.74707,1
21.538465,88.18324,1
87.50656,-8.9934225,1
-26.820576,38.000366,1
3.9008057,15.516758,1
-20.271145,40.212456,1
-11.97041,71.80635,1
58.035202,22.056347,1
-25.330091,28.483665,1
48.61209,58.903202,1
87.86647,-6.3978586,1
3.2912416,17.247242,1
-21.331875,39.606167,1
50.200993,-7.7199163,1
-3.1158054,30.162264,1
16.867767,43.382378,1
87.78352,30.444597,1
88.23213,-4.961834,1
7.6471305,14.11759,1
21.526072,41.259937,1
-44.074604,-22.630932,1
19.456127,26.344622,1
17.05896,43.333096,1
70.301,44.667145,1
83.94016,-7.2373533,1
8.476009,13.563079,1
6.7817984,23.011724,1
16.402073,43.5362,1
51.84233,45.60621,1
80.98014,-13.6859,1
8.849204,13.9919615,1
21.084318,41.47389,1
-32.943985,-11.48141,1
49.7975,-6.821849,1
16.459126,57.412727,1
16.529425,43.550472,1
68.111,65.31544,1
85.31824,-10.93268,1
10.337557,13.513543,1
-35.23737,-21.087542,1
53.079388,-5.703866,1
1.2857195,60.60441,1
16.882803,43.50692,1
41.193016,76.94794,1
87.27131,-9.393847,1
10.310445,13.869864,1
-16.370043,38.751972,1
53.3591,-5.926541,1
3.365006,44.638405,1
37.712543,14.045118,1
21.538465,88.18324,1
87.4647,-8.34977,1
12.750099,-0.13615312,1
10.07252,14.197571,1
-36.268574,36.28061,1
-11.2380905,71.77783,1
48.61209,58.903202,1
87.96723,-6.1566978,1
12.093414,4.2686915,1
9.933069,14.34218,1
-27.909136,-13.712846,1
48.373814,-12.344235,1
-3.1823726,30.644463,1
87.78352,30.444597,1
54.382576,-48.475048,1
-3.8310294,43.448196,1
10.078826,13.640266,1
20.865767,43.427536,1
37.616398,15.186995,1
20.635675,27.341448,1
37.673595,15.422344,1
70.301,44.667145,1
83.73152,-7.47779,1
36.483883,-13.337001,1
10.868141,12.702726,1
-32.378162,-27.002304,1
6.367774,23.178127,1
15.900604,42.221554,1
40.173393,33.949852,1
81.00372,-13.930587,1
38.882133,-13.008907,1
12.009742,12.6112385,1
20.202393,42.758316,1
-48.6196,-25.721794,1
49.861786,-9.647109,1
15.631587,58.349728,1
-4.890566,43.438633,1
68.111,65.31544,1
85.1661,-11.321602,1
11.426154,12.108071,1
-55.739544,-24.650063,1
1.2525505,61.63572,1
16.027561,43.12114,1
41.193016,76.94794,1
86.69157,-9.920946,1
54.441353,16.593218,1
-32.520813,-38.038975,1
4.5744524,45.870155,1
-10.587611,51.039497,1
21.538465,88.18324,1
87.11294,-8.876016,1
11.688068,12.010947,1
-52.344864,-26.375221,1
-10.780063,71.46081,1
-13.239307,47.89975,1
48.61209,58.903202,1
87.82723,-6.3798122,1
-51.87769,-16.38171,1
